Season,NAT,Club_Name,TSR,STR,PDO,Pass_Success,Possesion,Team_Value,AGE,FPPsq,Country Score,Rating,Pts
167,910,FRA,Auxerre,0.482371,0.536919,965.7268,0.722368,0.472105,1.97,23.5,0.545454546,50.168,6.98,19.748
168,910,FRA,Monaco,0.488155,0.490275,984.8885,0.706486,0.477027,2.05,23.8,1,50.168,6.88,21.748
169,910,FRA,Lens,0.458494,0.459804,1010.746,0.738684,0.466316,1.75,24.2,0.59375,50.168,6.82,32.748
170,910,FRA,Saint-Etienne,0.486555,0.452067,891.3296,0.748421,0.5,2.53,23.6,0.46875,50.168,6.86,25.748
171,910,FRA,Nancy,0.485378,0.465503,900.8535,0.695263,0.450789,2.52,24.8,0.580645161,50.168,6.82,25.748
172,910,FRA,Rennes,0.534226,0.56011,914.881,0.751316,0.529474,1.29,24.6,0.516129032,50.168,6.85,19.748
173,910,FRA,Sochaux,0.446306,0.421784,956.9093,0.756579,0.491316,1.3,22.4,0.516129032,50.168,6.76,12.748
174,910,GER,Bayern Munich,0.55809,0.599094,1056.46,0.830294,0.612059,9.77,25.1,0.517241379,64.207,7.06,110.841
175,910,GER,Bayer Leverkusen,0.647439,0.691066,914.0215,0.776176,0.542059,5.03,23.6,0.46666667,64.207,6.99,40.841
176,910,GER,Borussia Dortmund,0.544393,0.58524,955.2332,0.734118,0.494118,4.17,23,0.441176471,64.207,6.98,14.841
177,910,GER,Schalke 04,0.526435,0.568504,993.4322,0.739412,0.480882,3.53,23.3,0.575,64.207,6.95,54.841
178,910,GER,VfB Stuttgart,0.553828,0.57319,932.2686,0.768182,0.535455,3.68,24.2,0.411764706,64.207,6.87,52.841
179,910,GER,Hannover 96,0.488734,0.44026,874.1246,0.743824,0.487353,2.84,25.1,0.538461539,64.207,6.68,11.841
180,910,GER,Werder Bremen,0.595644,0.578248,1086.197,0.781471,0.554412,3.64,23.4,0.447368421,64.207,7.07,94.841
181,910,GER,Hamburger SV,0.52736,0.546176,875.4098,0.793824,0.556765,2.37,24,0.542857143,64.207,6.88,86.841
182,910,GER,Wolfsburg,0.457033,0.492445,1006.158,0.781471,0.497353,2.31,24.9,0.612903226,64.207,6.95,38.841
183,910,GER,Eintracht Frankfurt,0.472165,0.450554,994.0593,0.769412,0.505588,1.71,24.6,0.5,64.207,6.77,18.841
184,910,GER,Hertha Berlin,0.488172,0.465162,886.7912,0.740294,0.481471,1.53,24.2,0.666666667,64.207,6.79,35.841
185,910,GER,Mainz 05,0.414427,0.427998,952.6802,0.743235,0.463529,0.987,25,0.536585366,64.207,6.8,13.841
186,1011,GER,Bayern Munich,0.566805,0.606732,795.3591,0.831765,0.617353,9.18,24.7,0.548387037,69.436,7.04,118.887
187,1011,GER,Bayer Leverkusen,0.599981,0.576862,1007.901,0.782941,0.556471,4.89,24.1,0.4,69.436,6.91,54.887
188,1011,GER,Borussia Dortmund,0.648487,0.685566,1073.227,0.746765,0.529706,3.7,23.8,0.516129032,69.436,7.01,22.887
189,1011,GER,Schalke 04,0.472548,0.48291,1312.57,0.778235,0.520882,3.88,24.2,0.638888889,69.436,6.75,61.887
190,1011,GER,VfB Stuttgart,0.478684,0.476466,1062.888,0.755294,0.482059,3.23,24.3,0.515151515,69.436,6.84,53.887
191,1011,GER,Werder Bremen,0.509585,0.487381,925.3247,0.749394,0.532727,3.86,24,0.473684211,69.436,6.76,92.887
192,1011,GER,Hamburger SV,0.50771,0.504583,984.1503,0.791176,0.544706,4.41,25.1,0.666666667,69.436,6.85,74.887
193,1011,GER,Wolfsburg,0.446444,0.414288,1030.882,0.74,0.49,6.2,24.8,0.735294118,69.436,6.74,39.887
194,1011,GER,Eintracht Frankfurt,0.442053,0.415515,876.3942,0.751765,0.505,1.83,24.2,0.483870968,69.436,6.7,19.887
195,1011,GER,FC Nuernberg,0.566149,0.546439,936.472923,0.716471,0.480882,1.22,23.5,0.4375,69.436,6.72,21.887
196,1112,GER,Bayern Munich,0.665825,0.718489,816.8705,0.862333,0.643,13.98,25.1,0.458333333,75.186,7.17,133.037
197,1112,GER,Bayer Leverkusen,0.48055,0.555682,931.6138,0.782333,0.527,5.21,23.3,0.310344828,75.186,7.01,60.037
198,1112,GER,Borussia Dortmund,0.646179,0.663664,1138.225,0.776552,0.551379,5.65,23.8,0.428571429,75.186,7.21,31.037
